Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
0001-	06400005	30621	OCTO-CONIQUE	ACIER GALVANISE	06400005	30621	THORN	VM2S	175	SECTEUR 2	06400005	SHP	TUBE	0150W	IR25	T22	E40	41032.54242	NOCTURNE	45.18316048	5.719639954
0001-	06400006	30621	OCTO-CONIQUE	ACIER GALVANISE	06400006	30621	THORN	VM2S	175	SECTEUR 2	06400006	SHP	TUBE	0150W	IR25	T22	E40	41032.54242	NOCTURNE	45.18310737	5.71933105
0001-	1230C003		FACADE	POLYESTER	12300001	30256	THORN	VM2S	290	SECTEUR 2	12300001	SHP	TUBE	0250W	IR25	T22	E40	41032.54242	NOCTURNE	45.18386077	5.717965532
0009-	6850C012		FACADE	POLYESTER	09200002	26024	COMATELEC	RHC3	450	SECTEUR 2	09200002	SHP	TUBE	0400W	IR25	T22	E40	40675.55538	NOCTURNE	45.18803348	5.72389709
0009-	3360C020		FACADE	POLYESTER	11200006	25600	PHILIPS	NVF 250	290	SECTEUR 2	11200006	SHP	TUBE	0250W	IR25	T22	E40	40675.55538	NOCTURNE	45.18923029	5.726284684
0009-	3360C011		FACADE	POLYESTER	11200007	25600	ECLATEC	OCEAN OA46	450	SECTEUR 2	11200007	SHP	OVOIDE	400W	IR25	T20	E40	40675.55538	NOCTURNE	45.18893157	5.725927321
0009-	2130C002		FACADE	POLYESTER	17050001	25355	ECLATEC	OCEAN OA36	450	SECTEUR 2	17050001	SHP	TUBE	0400W	IR25	T22	E40	40675.55538	NOCTURNE	45.1902001	5.724511522
0009-	1705C006		FACADE	POLYESTER	17050002	41060.47321	ECLATEC	ELIPT 55	175	SECTEUR 2	17050002	SHP	TUBE	0150W	IR25	T22	E40	41060.47321	NOCTURNE AVEC REDUCTION Bi-Pw (Réduction de 30% de 22h40 à 5h40)	45.19005787	5.723928487
0009-	1705C006		FACADE	POLYESTER	17050003	41025.62634	ECLATEC	ELIPT 55	175	SECTEUR 2	17050003	SHP	TUBE	0150W	IR25	T22	E40	41025.62634	NOCTURNE	45.18989275	5.72363876
0009-	1705C006		FACADE	POLYESTER	17050004	39457	ECLATEC	ELIPT 55	175	SECTEUR 2	17050004	SHP	TUBE	0150W	IR25	T22	E40	40675.55538	NOCTURNE	45.18972591	5.723346362
